bowling_id,match_code,team_name,player_name,overs,runs_conceded,wickets,economy
46,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,sumeet lahiri,4.0,17,5,4.2
47,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,pratik singh bais,2.0,5,1,2.5
48,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,shubhang sharma,2.0,5,2,2.5
49,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,devjani mutreja,0.5,2,1,2.4
50,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,oswald sam arthur,2.0,17,1,8.5
51,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,yeudy altamirano,1.0,16,0,16.0
52,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,imran ahmed kaneez,1.3,12,0,8.0
53,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,joel cutinho,1.0,2,1,2.0
54,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,tv badri narayanan,0.0,0,0,0.0
55,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,sachin ravikumar,0.0,0,0,0.0
56,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,sham murari,0.0,0,0,0.0
57,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,ashar abbas,0.0,0,0,0.0
58,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,suyog wankhade,0.0,0,0,0.0
59,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,kumar shivam,0.0,0,0,0.0
60,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Costa Rica,tangella amresh,0.0,0,0,0.0
61,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,gutierrez chavez,0.0,0,0,0.0
62,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,ankush singh,0.0,0,0,0.0
63,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,dhananjaya panda,0.0,0,0,0.0
64,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,jayanth byrappa,0.0,0,0,0.0
65,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,gurpreet singh,0.0,0,0,0.0
66,cri-vs-mex-6th-match-mexico-t20i-tri-series-2026,Mexico,seetharam guruvayoorappan,0.0,0,0,0.0
67,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,sudesh pillai,4.0,29,0,7.2
68,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,imran ahmed kaneez,4.0,28,0,7.0
69,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,sachin ravikumar,2.0,20,1,10.0
70,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,suyog wankhade,2.0,29,0,14.5
71,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,oswald sam arthur,2.0,13,1,6.5
72,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,joel cutinho,4.0,16,4,4.0
73,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,sham murari,2.0,13,1,6.5
74,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,luiz morais,4.0,18,2,4.5
75,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,luiz goncalves,3.0,11,1,3.7
76,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,luiz muller,2.0,12,0,6.0
77,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,gabriel oliveira,4.0,7,1,1.8
78,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,yasar haroon,3.0,11,2,3.7
79,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,caique cirino,3.0,20,1,6.7
80,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,breno passoni,1.0,8,0,8.0
81,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,michel assuncao,0.0,0,0,0.0
82,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,chrystian machado,0.0,0,0,0.0
83,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,william maximo,0.0,0,0,0.0
84,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Brazil,luiz moras,0.0,0,0,0.0
85,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,kumar shivam,0.0,0,0,0.0
86,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,yeudy altamirano,0.0,0,0,0.0
87,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,tv badri narayanan,0.0,0,0,0.0
88,brazil-vs-cri-5th-match-mexico-t20i-tri-series-2026,Costa Rica,shiva k,0.0,0,0,0.0
89,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,riquelmi nascimento,3.0,22,0,7.3
90,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,luiz morais,4.0,26,2,6.5
91,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,luiz gabriel moras,3.0,38,0,12.7
92,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,yasar haroon,3.0,26,2,8.7
93,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,luiz goncalves,3.0,21,1,7.0
94,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,luiz muller,2.0,17,2,8.5
95,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,gabriel oliveira,2.0,6,0,3.0
96,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,pratik singh bais,3.0,22,0,7.3
97,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,hassan nasir,4.0,28,0,7.0
98,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,shubhang sharma,4.0,22,1,5.5
99,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,sumeet lahiri,3.0,24,3,8.0
100,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,devjani mutreja,2.0,18,0,9.0
101,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,ankush singh,2.0,11,1,5.5
102,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,amir butt,2.0,14,1,7.0
103,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,shantanu kaveri,0.0,0,0,0.0
104,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,kashigoud patil,0.0,0,0,0.0
105,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,dhananjaya panda,0.0,0,0,0.0
106,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Mexico,devon ebersohn,0.0,0,0,0.0
107,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,michel assuncao,0.0,0,0,0.0
108,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,chrystian machado,0.0,0,0,0.0
109,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,william maximo,0.0,0,0,0.0
110,mex-vs-brazil-4th-match-mexico-t20i-tri-series-2026,Brazil,lucas maximo,0.0,0,0,0.0
111,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,riquelmi nascimento,3.0,4,1,1.3
112,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,luiz morais,3.2,4,1,1.2
113,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,luiz moras,3.0,10,1,3.3
114,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,yasar haroon,4.0,15,2,3.8
115,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,luiz goncalves,4.0,22,2,5.5
116,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,gabriel oliveira,2.0,8,2,4.0
117,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,ashar abbas,2.0,24,0,12.0
118,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,sudesh pillai,2.0,19,0,9.5
119,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,sachin ravikumar,1.0,3,0,3.0
120,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,joel cutinho,1.0,16,0,16.0
121,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,pusharaj naringrekar,0.1,4,0,24.0
122,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,tv badri narayanan,0.0,0,0,0.0
123,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,suyog wankhade,0.0,0,0,0.0
124,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,imran ahmed kaneez,0.0,0,0,0.0
125,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,tangella amresh,0.0,0,0,0.0
126,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,shiva k,0.0,0,0,0.0
127,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Costa Rica,sham murari,0.0,0,0,0.0
128,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,luiz muller,0.0,0,0,0.0
129,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,michel assuncao,0.0,0,0,0.0
130,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,chrystian machado,0.0,0,0,0.0
131,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,william maximo,0.0,0,0,0.0
132,cri-vs-brazil-3rd-match-mexico-t20i-tri-series-2026,Brazil,breno passoni,0.0,0,0,0.0
133,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,sudesh pillai,4.0,32,1,8.0
134,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,imran ahmed kaneez,4.0,35,1,8.8
135,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,suyog wankhade,2.0,22,0,11.0
136,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,oswald sam arthur,1.0,12,0,12.0
137,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,sham murari,3.0,42,1,14.0
138,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,joel cutinho,2.0,24,1,12.0
139,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Mexico,sachin ravikumar,4.0,35,0,8.8
140,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,pratik singh bais,2.0,7,0,3.5
141,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,hassan nasir,4.0,13,1,3.2
142,mex-vs-cri-2nd-match-mexico-t20i-tri-series-2026,Costa Rica,shubhang sharma,4.0,12,1,3.0
